#{"t_start": 1701214375.3774838, "env_id": "None"}
r,l,t
-4895.33,100,1.716026
-5394.2,100,1.873868
-5597.8,100,2.051169
-6171.16,96,2.226619
-5196.87,100,2.389215
-2384.29,41,2.466745
-2973.48,59,2.560698
-1529.58,29,2.613338
-5690.57,100,2.794931
-6898.82,100,2.957463
-3795.29,100,3.121218
-6401.68,100,3.273218
-4798.5,100,3.435198
-7001.89,100,3.594566
-1794.59,44,3.6704
-5793.16,100,3.82108
-7099.7,100,3.976239
-5891.78,100,4.177736
-52.73,14,4.198731
-4096.64,100,4.35541
181.85,6,4.367411
-5690.89,100,4.532694
-5998.71,100,4.682457
-5200.56,100,4.839814
-841.56,32,4.884147
-4792.97,100,5.028659
-5394.1,100,5.297847
-1674.04,39,5.411612
-5107.88,100,5.671771
-2271.87,59,5.829932
-5394.6,100,6.076164
-6687.38,100,6.285567
-6094.52,100,6.473354
273.73,8,6.488731
-6090.52,100,6.690194
-6101.27,100,6.855416
-5789.62,100,7.002876
-5297.7,100,7.152711
-4782.73,100,7.377929
-2274.2,37,7.450668
-5699.03,100,7.628844
-1665.43,36,7.694923
-6101.15,100,7.886883
-4298.48,100,8.094028
-4601.2,100,8.305575
-5585.28,100,8.535836
-4277.06,100,8.75314
282.87,6,8.768738
-5998.72,100,8.944906
-4390.49,100,9.192988
-5095.2,100,9.440501
-2278.37,60,9.559725
-463.6,16,9.594505
-6005.97,100,9.784022
-5398.87,100,9.987682
-23.09,7,10.004683
-5578.4,99,10.18918
-5789.29,100,10.390949
-5104.53,100,10.644665
-4692.53,100,10.933565
-145.46,12,10.968923
-1199.37,23,11.023565
-5393.82,100,11.297937
-263.84,16,11.358576
-5104.89,100,11.715003
-5893.84,100,11.969362
-3670.29,57,12.10617
-5770.27,96,12.367249
-4853.83,92,12.616469
-507.98,25,12.688309
-6998.66,100,12.954492
-4403.52,100,13.211179
-1131.86,31,13.283732
-4803.08,100,13.650471
-6595.68,100,13.913024
-5987.63,100,14.139626
-5197.33,100,14.355043
396.91,4,14.36271
-6090.62,100,14.574851
-2549.75,53,14.687999
-6203.73,100,14.901769
-3801.41,65,15.042049
-810.97,26,15.096019
-1332.44,30,15.189397
-5503.23,100,15.416475
-5995.58,100,15.630066
-6000.96,100,15.816916
505.99,1,15.816916
69.75,9,15.838343
-6205.94,100,16.02738
-1721.2,28,16.078319
-4891.38,100,16.269929
-6703.46,100,16.51529
-1241.67,31,16.570745
396.96,3,16.576534
-5199.13,100,16.761397
-5701.17,100,16.945127
-4685.28,79,17.087272
-2194.77,43,17.158353
-6089.08,100,17.345997
-6492.71,100,17.584423
-5899.24,100,17.843102
-5604.82,100,18.070436
-7399.57,100,18.303743
